Energias,ZAPA,Gst ganado,Arreglo Gst,Coste de caja gst,GMT,Total GST ,Caja mb,HP%,Obtencion caja,Upgrades,TOTAL FECHA GST,TOTAL USDT FECHA,Fecha,Aclaraciones de Upgrades,Success LV1,Success LV2,Success LV3,Success LV4,Porcentajes ,lv1,lv2,lv3,lv4,,OK,gemas l1,gemaslv2,gemas lv3,gemas lv4
17,UNC-WEG-168,300,21.8,,,278.2,F,72.89,,200,78.2,,23/1/23,3Rlv3 OK,,,YES,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,72.21,,100,178.2,,24/1/23,3Rlv2 F,,NO,,,,,,,,,,,,,
16,UNC-WL-432,45.9,4.2,261,,-219.3,6,39.78,6Rlv1 + 2Clv2 + SUNC,,-219.3,21,25/1/23,,,,,,,,,,,,,,,,
15,UNC-WL-432,43,4.2,273,,-234.2,6,38.62,6Clv1 + 2Llv2 ,100,-334.2,18,26/1/23,3Llv2 F,,NO,,,,,,,,,,,,,
12.6,UNC-WL-432,38.2,4.2,258,,-224,6,38.12,6Elv1 + 2Elv2 + SCOM,50,-274,11,27/1/23,3Clv1 OK,YES,,,,,,,,,,,,,,
12.6,UNC-WL-432,38.2,4.2,273,,-239,6,37.72,6Clv1 + 2Elv2 ,50,-289,8,28/1/23,3Clv1 F,NO,,,,,,,,,,,,,,
30,UNC-WEG-168,420,36,,,384,F,71.51,,100,284,,29/1/23,3Elv2 OK,,YES,,,,,,,,,,,,,
13.6,UNC-WL-432,39.05,3.8,281,,-245.75,6,36.56,6Elv1 + 2Elv2 ,50,-295.75,,30/1/23,3Clv1 OK,YES,,,,,,,,,,,,,,
27.8,UNC-WEG-168,350,30,,,320,F,69.71,,50,270,,31/1/23,3Clv1 OK,YES,,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,67.71,,100,178.2,,1/2/23,3Elv2 OK,,YES,,,,,,,,,,,,,
17,UNC-WEG-168,300,21.8,,,278.2,F,66.69,,100,178.2,,2/2/23,3Elv2 F,,NO,,,,,,,,,,,,,
13.6,UNC-WL-432,40,7.8,259,,-226.8,6,35.43,6Clv1 + 1Rlv2 ,100,-326.8,6.2,3/2/23,3Elv2 OK,,YES,,,,,,,,,,,,,
12.6,UNC-WL-432,36.7,7.6,100,,-70.9,5,34.43,3Llv1 + 1Clv2,100,-170.9,10,4/2/23,3Elv2 F,,NO,,,,,,,,,,,,,
12,UNC-WL-432,37.1,7.6,266,,-236.5,6,33.43,6Rlv1 + 2Llv2 ,50,-286.5,12,4/2/23,3Clv1 fail,NO,,,,,,,,,,,,,,
22,WEG-579,291,12,,,279,F,82.61,,100,179,,5/2/23,3Llv2 F,,NO,,,,,,,,,,,,,
22,WEG-579,291,12,,,279,F,82.01,,100,179,,6/2/23,3Llv2 F,,NO,,,,,,,,,,,,,
22,WEG-579,291,12,,,279,F,81.51,,50,229,,7/2/23,3Clv1 OK,YES,,,,,,,,,,,,,,
22,WEG-579,291,12,,,279,F,81.01,,50,229,,8/2/23,3Clv1 F,NO,,,,,,,,,,,,,,
